from_table,from_cols,to_table,to_cols,constraint_name
public._deprecated_artifacts,build_job_id,public._deprecated_build_jobs,id,
public._deprecated_build_jobs,package_draft_id,public._deprecated_package_drafts,id,
public._deprecated_orders,buyer_id,public._deprecated_buyers,id,
public._deprecated_orders,package_draft_id,public._deprecated_package_drafts,id,
public._deprecated_package_drafts,buyer_id,public._deprecated_buyers,id,
public._deprecated_support_requests,package_draft_id,public._deprecated_package_drafts,id,
public.agent_autobiographies,agent_id,public.agents,agent_id,
public.agent_autobiographies,version_id,public.agent_versions,version_id,
public.agent_code_artifacts,agent_id,public.agents,agent_id,
public.agent_code_artifacts,manifest_id,public.agent_manifests,id,
public.agent_code_artifacts,source_asset_id,public.knowledge_assets,id,
public.agent_constitutions,agent_id,public.agents,agent_id,
public.agent_constitutions,version_id,public.agent_versions,version_id,
public.agent_context_views,agent_id,public.agents,agent_id,
public.agent_context_views,relationship_id,public.agent_relationship_edges,relationship_id,
public.agent_context_views,collaborative_space_id,public.collaborative_spaces,collaborative_space_id,
public.agent_governance_policies,version_id,public.agent_versions,version_id,
public.agent_governance_policies,agent_id,public.agents,agent_id,
public.agent_knowledge_links,agent_id,public.agents,agent_id,
public.agent_knowledge_links,asset_id,public.knowledge_assets,id,
public.agent_knowledge_links,approved_by,auth.users,id,
public.agent_manifest_entries,manifest_id,public.agent_manifests,id,
public.agent_manifests,agent_id,public.agents,agent_id,
public.agent_manifests,version_id,public.agent_versions,version_id,
public.agent_manifests,parent_manifest_id,public.agent_manifests,id,
public.agent_memories,agent_id,public.agents,agent_id,
public.agent_memories,source_asset_id,public.knowledge_assets,id,
public.agent_memory_records,agent_id,public.agents,agent_id,
public.agent_memory_records,version_id,public.agent_versions,version_id,
public.agent_memory_records,source_asset_id,public.knowledge_assets,id,
public.agent_preference_nodes,agent_id,public.agents,agent_id,
public.agent_preference_nodes,version_id,public.agent_versions,version_id,
public.agent_presentation_profiles,agent_id,public.agents,agent_id,
public.agent_presentation_profiles,version_id,public.agent_versions,version_id,
public.agent_private_interiors,agent_id,public.agents,agent_id,
public.agent_private_interiors,version_id,public.agent_versions,version_id,
public.agent_relationship_edges,agent_id,public.agents,agent_id,
public.agent_relationship_edges,version_id,public.agent_versions,version_id,
public.agent_relationship_edges,related_agent_id,public.agents,agent_id,
public.agent_relationships,agent_id,public.agents,agent_id,
public.agent_relationships,related_agent_id,public.agents,agent_id,
public.agent_skill_profiles,agent_id,public.agents,agent_id,
public.agent_skill_profiles,evidence_asset_id,public.knowledge_assets,id,
public.agent_skills,agent_id,public.agents,agent_id,
public.agent_skills,evidence_asset_id,public.knowledge_assets,id,
public.agent_skills,last_updated_by_mutation_id,public.embodiment_mutations,id,
public.agent_versions,agent_id,public.agents,agent_id,
public.agent_versions,parent_version_id,public.agent_versions,version_id,
public.agents,owner_user_id,auth.users,id,
public.agents,active_version_id,public.agent_versions,version_id,
public.agents,collaborator_id,public.collaborators,collaborator_id,
public.annotation_concepts,annotation_id,public.loom_annotations,annotation_id,
public.annotation_concepts,concept_id,public.concepts,concept_id,
public.app_users,auth_user_id,auth.users,id,
public.app_users,subject_id,public.identity_subjects,subject_id,
public.approvals,run_id,public.training_runs,run_id,
public.approvals,version_id,public.agent_versions,version_id,
public.approvals,approver_user_id,auth.users,id,
public.billy_sessions,user_id,public.app_users,id,
public.bucket_drops,user_id,public.app_users,id,
public.collaborative_memory_records,collaborative_space_id,public.collaborative_spaces,collaborative_space_id,
public.collaborative_memory_records,source_memory_id,public.agent_memory_records,memory_id,
public.collaborative_memory_records,created_by_agent_id,public.agents,agent_id,
public.collaborative_space_members,agent_id,public.agents,agent_id,
public.collaborative_space_members,collaborative_space_id,public.collaborative_spaces,collaborative_space_id,
public.collaborative_spaces,created_by,auth.users,id,
public.collaborator_embodiment_links,collaborator_id,public.collaborators,collaborator_id,
public.collaborator_onboarding_events,collaborator_id,public.collaborators,collaborator_id,
public.collaborator_permissions,collaborator_id,public.collaborators,collaborator_id,
public.collaborator_permissions,granted_by_collaborator_id,public.collaborators,collaborator_id,
public.collaborator_relationships,source_collaborator_id,public.collaborators,collaborator_id,
public.collaborator_relationships,target_collaborator_id,public.collaborators,collaborator_id,
public.collaborator_roles,collaborator_id,public.collaborators,collaborator_id,
public.collaborators,auth_user_id,auth.users,id,
public.collaborators,app_user_id,public.app_users,id,
public.collaborators,agent_id,public.agents,agent_id,
public.consciousness_profiles,user_id,public.app_users,id,
public.consciousness_profiles,subject_id,public.identity_subjects,subject_id,
public.consciousness_profiles,auth_user_id,auth.users,id,
public.context_injection_packets,subject_id,public.identity_subjects,subject_id,
public.context_injection_packets,auth_user_id,auth.users,id,
public.context_injection_rules,subject_id,public.identity_subjects,subject_id,
public.context_injection_rules,auth_user_id,auth.users,id,
public.deployment_artifacts,version_id,public.agent_versions,version_id,
public.document_concepts,document_id,public.documents,document_id,
public.document_concepts,concept_id,public.concepts,concept_id,
public.documents,run_id,public.processing_runs,run_id,
public.embeddings,document_id,public.documents,document_id,
public.embeddings,run_id,public.processing_runs,run_id,
public.embodiment_mutations,agent_id,public.agents,agent_id,
public.embodiment_mutations,source_asset_id,public.knowledge_assets,id,
public.embodiment_mutations,interpretation_id,public.knowledge_interpretations,id,
public.embodiment_mutations,approved_by,auth.users,id,
public.embodiment_mutations,applied_version_id,public.agent_versions,version_id,
public.eval_results,run_id,public.training_runs,run_id,
public.eval_results,candidate_version_id,public.agent_versions,version_id,
public.eval_results,scenario_id,public.scenarios,scenario_id,
public.eval_results,rubric_id,public.eval_rubrics,rubric_id,
public.eval_results,judge_provider_id,public.model_providers,provider_id,
public.eval_results,judge_model_id,public.models,model_id,
public.founder_context,user_id,auth.users,id,
public.founder_context,subject_id,public.identity_subjects,subject_id,
public.gate_artifacts,build_job_id,public.gate_build_jobs,id,
public.gate_build_jobs,order_id,public.gate_orders,id,
public.gate_build_jobs,package_draft_id,public.gate_package_drafts,id,
public.gate_order_items,order_id,public.gate_orders,id,
public.gate_orders,buyer_id,public.gate_buyers,id,
public.gate_orders,package_draft_id,public.gate_package_drafts,id,
public.gate_package_drafts,buyer_id,public.gate_buyers,id,
public.gate_support_requests,package_draft_id,public.gate_package_drafts,id,
public.gate_support_requests,order_id,public.gate_orders,id,
public.gestaltview_module_keys,module_id,public.gestaltview_modules,module_id,
public.gestaltview_module_profiles,subject_id,public.identity_subjects,subject_id,
public.gestaltview_module_profiles,auth_user_id,auth.users,id,
public.gestaltview_module_profiles,module_id,public.gestaltview_modules,module_id,
public.human_cognition_profiles,subject_id,public.identity_subjects,subject_id,
public.human_cognition_profiles,auth_user_id,auth.users,id,
public.human_consciousness_profiles,subject_id,public.identity_subjects,subject_id,
public.human_consciousness_profiles,auth_user_id,auth.users,id,
public.human_context_views,subject_id,public.identity_subjects,subject_id,
public.human_context_views,auth_user_id,auth.users,id,
public.human_context_views,relationship_subject_id,public.identity_subjects,subject_id,
public.human_continuity_snapshots,subject_id,public.identity_subjects,subject_id,
public.human_continuity_snapshots,auth_user_id,auth.users,id,
public.human_identity_evidence,subject_id,public.identity_subjects,subject_id,
public.human_identity_evidence,auth_user_id,auth.users,id,
public.human_identity_evidence,source_asset_id,public.knowledge_assets,id,
public.human_identity_evidence,source_memory_entry_id,public.memory_entries,id,
public.human_identity_mutations,subject_id,public.identity_subjects,subject_id,
public.human_identity_mutations,auth_user_id,auth.users,id,
public.human_identity_mutations,proposed_by_user_id,auth.users,id,
public.human_identity_mutations,source_asset_id,public.knowledge_assets,id,
public.human_identity_profiles,subject_id,public.identity_subjects,subject_id,
public.human_identity_profiles,auth_user_id,auth.users,id,
public.human_identity_review_events,mutation_id,public.human_identity_mutations,mutation_id,
public.human_identity_review_events,subject_id,public.identity_subjects,subject_id,
public.human_identity_review_events,auth_user_id,auth.users,id,
public.human_identity_review_events,reviewer_user_id,auth.users,id,
public.human_identity_rollback_events,mutation_id,public.human_identity_mutations,mutation_id,
public.human_identity_rollback_events,subject_id,public.identity_subjects,subject_id,
public.human_identity_rollback_events,auth_user_id,auth.users,id,
public.human_identity_rollback_events,rolled_back_by,auth.users,id,
public.human_memory_records,subject_id,public.identity_subjects,subject_id,
public.human_memory_records,auth_user_id,auth.users,id,
public.human_memory_records,source_memory_entry_id,public.memory_entries,id,
public.human_memory_records,source_asset_id,public.knowledge_assets,id,
public.human_personality_profiles,subject_id,public.identity_subjects,subject_id,
public.human_personality_profiles,auth_user_id,auth.users,id,
public.human_relationship_edges,subject_id,public.identity_subjects,subject_id,
public.human_relationship_edges,auth_user_id,auth.users,id,
public.human_relationship_edges,related_subject_id,public.identity_subjects,subject_id,
public.identity_contradictions,agent_id,public.agents,agent_id,
public.identity_evidence,agent_id,public.agents,agent_id,
public.identity_evidence,source_asset_id,public.knowledge_assets,id,
public.identity_evidence_links,evidence_id,public.identity_evidence,evidence_id,
public.identity_mutation_proposals,agent_id,public.agents,agent_id,
public.identity_mutation_proposals,proposed_by_user_id,auth.users,id,
public.identity_mutation_proposals,proposed_by_agent_id,public.agents,agent_id,
public.identity_mutation_proposals,source_asset_id,public.knowledge_assets,id,
public.identity_review_events,mutation_id,public.identity_mutation_proposals,mutation_id,
public.identity_review_events,reviewer_user_id,auth.users,id,
public.identity_rollback_events,mutation_id,public.identity_mutation_proposals,mutation_id,
public.identity_rollback_events,rolled_back_by,auth.users,id,
public.identity_subjects,auth_user_id,auth.users,id,
public.identity_subjects,app_user_id,public.app_users,id,
public.identity_subjects,agent_id,public.agents,agent_id,
public.knowledge_asset_chunks,asset_id,public.knowledge_assets,id,
public.knowledge_asset_tags,asset_id,public.knowledge_assets,id,
public.knowledge_asset_tags,tag_id,public.knowledge_tags,id,
public.knowledge_assets,uploaded_by,auth.users,id,
public.knowledge_interpretations,asset_id,public.knowledge_assets,id,
public.knowledge_interpretations,agent_id,public.agents,agent_id,
public.knowledge_interpretations,produced_by_run_id,public.training_runs,run_id,
public.loom_annotations,run_id,public.processing_runs,run_id,
public.memory_entries,subject_id,public.identity_subjects,subject_id,
public.memory_entries,auth_user_id,auth.users,id,
public.memory_entries,source_asset_id,public.knowledge_assets,id,
public.models,provider_id,public.model_providers,provider_id,
public.musical_dna_analyses,user_id,public.app_users,id,
public.scenario_sets,created_by,auth.users,id,
public.scenarios,scenario_set_id,public.scenario_sets,scenario_set_id,
public.skill_fragments,document_id,public.documents,document_id,
public.summaries,run_id,public.processing_runs,run_id,
public.summaries,document_id,public.documents,document_id,
public.trainer_experiment_sources,experiment_id,public.trainer_experiments,id,
public.trainer_jobs,run_id,public.training_runs,run_id,
public.trainer_memory_bindings,experiment_id,public.trainer_experiments,id,
public.trainer_packaging_candidates,experiment_id,public.trainer_experiments,id,
public.trainer_policy_flags,experiment_id,public.trainer_experiments,id,
public.trainer_review_decisions,experiment_id,public.trainer_experiments,id,
public.trainer_skills,default_connector_id,public.trainer_connectors,id,
public.training_runs,approver_user_id,auth.users,id,
public.training_runs,agent_id,public.agents,agent_id,
public.training_runs,baseline_version_id,public.agent_versions,version_id,
public.training_runs,requested_by,auth.users,id,
public.training_runs,experiment_id,public.trainer_experiments,id,
public.training_steps,run_id,public.training_runs,run_id,
public.training_steps,provider_id,public.model_providers,provider_id,
public.training_steps,model_id,public.models,model_id,
public.tribunal_evidence,tribunal_event_id,public.tribunal_events,id,
public.tribunal_sessions,user_id,public.app_users,id,
public.users,id,auth.users,id,
