from_table,to_table,from_domain,to_domain,columns,ref_columns
_deprecated_artifacts,_deprecated_build_jobs,Legacy Commerce,Legacy Commerce,build_job_id,id
_deprecated_build_jobs,_deprecated_package_drafts,Legacy Commerce,Legacy Commerce,package_draft_id,id
_deprecated_orders,_deprecated_buyers,Legacy Commerce,Legacy Commerce,buyer_id,id
_deprecated_orders,_deprecated_package_drafts,Legacy Commerce,Legacy Commerce,package_draft_id,id
_deprecated_package_drafts,_deprecated_buyers,Legacy Commerce,Legacy Commerce,buyer_id,id
_deprecated_support_requests,_deprecated_package_drafts,Legacy Commerce,Legacy Commerce,package_draft_id,id
agent_autobiographies,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_autobiographies,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_code_artifacts,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_code_artifacts,agent_manifests,Agent Personhood,Agent Personhood,manifest_id,id
agent_code_artifacts,knowledge_assets,Agent Personhood,Agent Personhood,source_asset_id,id
agent_constitutions,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_constitutions,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_context_views,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_context_views,agent_relationship_edges,Agent Personhood,Agent Personhood,relationship_id,relationship_id
agent_context_views,collaborative_spaces,Agent Personhood,Billy Runtime,collaborative_space_id,collaborative_space_id
agent_governance_policies,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_governance_policies,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_knowledge_links,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_knowledge_links,knowledge_assets,Agent Personhood,Agent Personhood,asset_id,id
agent_manifest_entries,agent_manifests,Agent Personhood,Agent Personhood,manifest_id,id
agent_manifests,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_manifests,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_manifests,agent_manifests,Agent Personhood,Agent Personhood,parent_manifest_id,id
agent_memories,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_memories,knowledge_assets,Agent Personhood,Agent Personhood,source_asset_id,id
agent_memory_records,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_memory_records,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_memory_records,knowledge_assets,Agent Personhood,Agent Personhood,source_asset_id,id
agent_preference_nodes,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_preference_nodes,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_presentation_profiles,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_presentation_profiles,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_private_interiors,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_private_interiors,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_relationship_edges,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_relationship_edges,agent_versions,Agent Personhood,Agent Trainer,version_id,version_id
agent_relationship_edges,agents,Agent Personhood,Agent Personhood,related_agent_id,agent_id
agent_relationships,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_relationships,agents,Agent Personhood,Agent Personhood,related_agent_id,agent_id
agent_skill_profiles,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_skill_profiles,knowledge_assets,Agent Personhood,Agent Personhood,evidence_asset_id,id
agent_skills,agents,Agent Personhood,Agent Personhood,agent_id,agent_id
agent_skills,knowledge_assets,Agent Personhood,Agent Personhood,evidence_asset_id,id
agent_skills,embodiment_mutations,Agent Personhood,Agent Personhood,last_updated_by_mutation_id,id
agent_versions,agents,Agent Trainer,Agent Personhood,agent_id,agent_id
agent_versions,agent_versions,Agent Trainer,Agent Trainer,parent_version_id,version_id
agents,agent_versions,Agent Personhood,Agent Trainer,active_version_id,version_id
annotation_concepts,loom_annotations,Knowledge & Corpus,Knowledge & Corpus,annotation_id,annotation_id
annotation_concepts,concepts,Knowledge & Corpus,Knowledge & Corpus,concept_id,concept_id
approvals,training_runs,Agent Trainer,Agent Trainer,run_id,run_id
