table,columns,pk_cols,unique_constraints,fk_out
public._deprecated_artifacts,9,id,0,1
public._deprecated_build_jobs,10,id,0,1
public._deprecated_buyers,4,id,1,0
public._deprecated_order_items,8,id,0,0
public._deprecated_orders,12,id,1,2
public._deprecated_package_drafts,18,id,0,1
public._deprecated_support_requests,8,id,0,1
public.agent_autobiographies,16,autobiography_id,0,2
public.agent_code_artifacts,12,id,0,3
public.agent_constitutions,15,constitution_id,0,2
public.agent_context_views,12,context_view_id,0,3
public.agent_governance_policies,11,governance_policy_id,0,2
public.agent_knowledge_links,9,id,0,3
public.agent_manifest_entries,9,id,0,1
public.agent_manifests,9,id,0,3
public.agent_memories,9,id,0,2
public.agent_memory_records,27,memory_id,0,3
public.agent_preference_nodes,24,preference_id,0,2
public.agent_presentation_profiles,14,presentation_profile_id,0,2
public.agent_private_interiors,15,private_interior_id,0,2
public.agent_relationship_edges,25,relationship_id,0,3
public.agent_relationships,9,id,0,2
public.agent_skill_profiles,12,skill_profile_id,0,2
public.agent_skills,9,id,0,3
public.agent_versions,10,version_id,0,2
public.agents,12,agent_id,1,3
public.annotation_concepts,2,"annotation_id,concept_id",0,2
public.app_users,6,id,0,2
public.approvals,6,approval_id,0,3
public.billy_sessions,8,id,0,1
public.bucket_drops,6,id,0,1
public.collaborative_memory_records,16,collaborative_memory_id,0,3
public.collaborative_space_members,4,"collaborative_space_id,agent_id",0,2
public.collaborative_spaces,10,collaborative_space_id,1,1
public.collaborator_embodiment_links,8,embodiment_link_id,0,1
public.collaborator_onboarding_events,10,onboarding_event_id,0,1
public.collaborator_permissions,8,permission_id,0,2
public.collaborator_relationships,9,relationship_id,0,2
public.collaborator_roles,9,role_id,0,1
public.collaborators,15,collaborator_id,2,3
public.concepts,5,concept_id,0,0
public.consciousness_profiles,10,id,0,3
public.context_injection_packets,10,packet_id,0,2
public.context_injection_rules,12,rule_id,0,2
public.deployment_artifacts,5,artifact_id,0,1
public.document_concepts,3,"document_id,concept_id",0,2
public.documents,18,document_id,1,1
public.embeddings,6,id,0,2
public.embodiment_mutations,15,id,0,5
public.eval_results,11,eval_result_id,0,6
public.eval_rubrics,6,rubric_id,1,0
public.founder_context,17,id,1,2
public.gate_artifacts,10,id,0,1
public.gate_build_jobs,10,id,0,2
public.gate_buyers,4,id,1,0
public.gate_order_items,8,id,0,1
public.gate_orders,15,id,1,2
public.gate_package_drafts,21,id,0,1
public.gate_support_requests,8,id,0,2
public.gestaltview_module_keys,8,module_key_id,0,1
public.gestaltview_module_profiles,12,profile_id,0,3
public.gestaltview_modules,11,module_id,2,0
public.human_cognition_profiles,15,cognition_profile_id,1,2
public.human_consciousness_profiles,14,consciousness_profile_id,1,2
public.human_context_views,11,context_view_id,0,3
public.human_continuity_snapshots,11,snapshot_id,0,2
public.human_identity_evidence,11,evidence_id,0,4
public.human_identity_mutations,23,mutation_id,0,4
public.human_identity_profiles,15,profile_id,1,2
public.human_identity_review_events,8,review_event_id,0,4
public.human_identity_rollback_events,8,rollback_event_id,0,4
public.human_memory_records,20,memory_id,0,4
public.human_personality_profiles,14,personality_profile_id,1,2
public.human_relationship_edges,14,relationship_id,0,3
public.identity_contradictions,11,contradiction_id,0,1
public.identity_evidence,11,evidence_id,0,2
public.identity_evidence_links,5,evidence_link_id,0,1
public.identity_mutation_proposals,22,mutation_id,0,4
public.identity_review_events,6,review_event_id,0,2
public.identity_rollback_events,6,rollback_event_id,0,2
public.identity_subjects,11,subject_id,3,3
public.ingestion_safety_events,9,id,0,0
public.knowledge_asset_chunks,8,id,0,1
public.knowledge_asset_tags,3,"asset_id,tag_id",0,2
public.knowledge_assets,14,id,0,1
public.knowledge_fragments,22,id,1,0
public.knowledge_interpretations,8,id,0,3
public.knowledge_tags,3,id,1,0
public.loom_annotations,7,annotation_id,0,1
public.memory_entries,23,id,0,3
public.model_providers,7,provider_id,1,0
public.models,14,model_id,1,1
public.musical_dna_analyses,7,id,0,1
public.ops_workbook_items,16,id,0,0
public.ops_workbook_sync_runs,7,id,0,0
public.processing_runs,15,run_id,0,0
public.scenario_sets,8,scenario_set_id,1,1
public.scenarios,10,scenario_id,0,1
public.skill_fragments,13,id,0,1
public.skills,7,id,1,0
public.summaries,8,summary_id,0,2
public.trainer_connectors,9,id,1,0
public.trainer_experiment_sources,6,id,0,1
public.trainer_experiments,22,id,1,0
public.trainer_jobs,6,job_id,0,1
public.trainer_memory_bindings,7,id,0,1
public.trainer_packaging_candidates,12,id,0,1
public.trainer_policy_flags,6,id,0,1
public.trainer_review_decisions,10,id,0,1
public.trainer_skills,10,id,1,1
public.training_runs,15,run_id,0,5
public.training_steps,11,step_id,0,3
public.tribunal_events,7,id,0,0
public.tribunal_evidence,7,id,0,1
public.tribunal_sessions,8,id,0,1
public.users,10,id,2,1
